Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,ï¿½Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
16,102,29,165,113,16,61,23,66,175,47,28,23,50,10,2,18,25,25,25,36,15,15,43,2,2,21,65,47,31,16,5,34,23,39,12,3,3,3,3,3,5,5,5,12,6,5,5,13,13,13,5,39,15,6,6,6,6,16,16,16,9,14,14,9
37,211,65,368,271,37,127,40,131,380,82,55,40,111,39,13,31,43,43,43,60,34,47,113,13,13,26,146,96,44,12,19,97,51,64,27,6,6,6,6,6,11,11,11,36,16,19,19,30,30,30,16,76,33,28,28,28,28,27,27,27,8,29,26,15
45,216,78,334,228,45,118,27,114,295,71,44,27,119,36,9,25,45,45,45,74,45,43,113,17,17,30,122,77,46,18,15,71,25,48,4,2,2,2,2,2,13,13,13,16,17,16,16,27,27,27,18,70,28,15,15,15,15,18,18,18,9,26,23,12
43,214,74,353,243,43,107,42,126,391,97,53,42,105,32,5,29,55,55,55,60,27,37,105,10,10,34,151,93,59,24,23,68,27,53,15,1,1,1,1,1,12,12,12,11,24,13,13,27,27,27,12,69,36,22,22,22,22,44,44,44,8,28,22,8
43,208,67,346,215,43,131,39,114,349,78,48,39,81,32,6,35,40,40,40,70,44,30,92,11,11,26,121,86,47,18,13,70,31,46,18,6,6,6,6,6,13,13,13,22,18,11,11,30,30,30,9,61,29,17,17,17,17,34,34,34,10,24,14,5
40,227,71,385,299,40,121,31,109,400,83,41,31,108,34,13,28,53,53,53,64,33,53,121,23,23,32,157,94,53,23,28,87,64,80,47,5,5,5,5,5,10,10,10,30,12,14,14,22,22,22,11,64,30,31,31,31,31,36,36,36,9,26,17,9
26,205,54,372,239,26,118,28,122,374,84,33,28,82,41,6,43,57,57,57,82,35,37,115,13,13,48,159,90,53,16,17,65,53,57,30,3,3,3,3,3,15,15,15,17,20,15,15,23,23,23,6,86,38,13,13,13,13,46,46,46,8,26,27,10
34,210,58,334,225,34,125,29,79,316,78,46,29,96,22,8,23,49,49,49,79,52,51,121,19,19,28,149,83,49,16,15,77,34,44,22,2,2,2,2,2,11,11,11,26,9,21,21,31,31,31,17,60,34,11,11,11,11,34,34,34,6,12,16,7
27,192,53,306,250,27,110,25,104,323,84,37,25,102,40,14,21,60,60,60,64,26,36,101,14,14,39,156,65,32,11,19,64,40,56,20,5,5,5,5,5,14,14,14,19,15,15,15,17,17,17,12,55,21,26,26,26,26,35,35,35,9,28,14,9
26,167,52,266,183,26,101,24,78,259,61,34,24,80,21,3,14,38,38,38,79,49,43,106,18,18,31,115,65,32,10,13,66,31,39,14,1,1,1,1,1,4,4,4,24,10,3,3,25,25,25,10,47,22,15,15,15,15,31,31,31,3,12,15,10
30,225,61,349,284,30,134,33,118,366,95,44,33,121,51,21,36,62,62,62,75,31,51,124,13,13,44,159,84,34,7,17,76,51,64,24,6,6,6,6,6,16,16,16,27,23,21,21,25,25,25,11,77,28,26,26,26,26,34,34,34,12,25,32,21
50,238,86,355,256,50,138,42,107,331,87,46,42,91,26,9,28,46,46,46,88,53,44,108,14,14,35,138,69,42,12,24,69,39,44,23,4,4,4,4,4,9,9,9,20,9,18,18,25,25,25,5,70,31,24,24,24,24,26,26,26,14,35,17,8
37,212,77,361,256,37,114,30,109,343,80,40,30,112,47,17,24,50,50,50,64,31,35,107,10,10,34,134,81,42,14,10,79,54,61,36,1,1,1,1,1,7,7,7,23,17,17,17,36,36,36,10,66,28,19,19,19,19,26,26,26,10,38,16,5
42,247,72,363,294,42,114,29,113,374,79,44,29,129,44,15,36,51,51,51,77,39,64,136,14,14,38,158,82,32,14,17,89,39,43,18,5,5,5,5,5,11,11,11,37,14,21,21,34,34,34,15,66,18,20,20,20,20,34,34,34,12,31,22,6
33,227,67,343,246,33,140,36,127,337,85,41,36,104,46,14,37,49,49,49,75,47,43,122,13,13,29,127,88,44,14,20,74,35,40,4,4,4,4,4,4,10,10,10,29,16,19,19,20,20,20,5,83,30,17,17,17,17,32,32,32,14,28,22,14
45,243,69,351,262,45,143,40,120,342,96,54,40,114,47,22,34,57,57,57,70,36,45,102,13,13,35,125,80,52,20,18,70,47,56,20,4,4,4,4,4,7,7,7,17,13,13,13,26,26,26,15,81,32,20,20,20,20,26,26,26,13,22,24,15
31,200,48,342,253,31,118,34,103,366,67,48,34,98,45,12,32,34,34,34,65,35,56,130,15,15,31,152,96,50,20,13,75,65,65,35,6,6,6,6,6,14,14,14,28,18,18,18,32,32,32,15,84,31,20,20,20,20,37,37,37,14,21,25,16
25,228,64,378,243,25,121,28,121,376,76,39,28,115,24,6,35,48,48,48,71,43,51,110,15,15,29,128,89,63,25,29,96,34,50,15,1,1,1,1,1,15,15,15,17,10,8,8,39,39,39,11,77,39,26,26,26,26,30,30,30,8,31,22,12
34,214,68,330,220,34,124,38,114,334,73,46,38,118,48,12,26,36,36,36,70,45,60,141,20,20,26,116,84,39,16,17,84,26,41,10,6,6,6,6,6,10,10,10,20,26,12,12,36,36,36,8,51,23,26,26,26,26,19,19,19,6,21,13,6
47,229,69,366,242,47,126,29,108,355,73,44,29,102,50,18,43,45,45,45,84,43,40,138,14,14,41,166,86,46,16,21,76,39,50,18,5,5,5,5,5,11,11,11,17,23,10,10,30,30,30,15,80,31,19,19,19,19,32,32,32,14,22,26,12
32,231,64,320,246,32,121,22,114,298,78,33,22,123,21,9,39,56,56,56,71,32,51,109,13,13,39,137,67,41,24,18,64,34,65,22,6,6,6,6,6,7,7,7,18,9,18,18,16,16,16,11,54,18,20,20,20,20,22,22,22,10,27,24,10
36,182,63,344,242,36,86,20,92,329,73,29,20,93,27,4,28,54,54,54,55,21,52,113,21,21,35,137,89,48,17,18,81,49,66,36,3,3,3,3,3,7,7,7,23,19,22,22,29,29,29,10,67,32,11,11,11,11,38,38,38,3,16,29,10
33,193,66,311,228,33,107,37,113,328,91,49,37,98,33,6,32,55,55,55,63,28,51,129,22,22,35,149,62,27,9,4,62,43,49,24,4,4,4,4,4,9,9,9,21,15,17,17,32,32,32,13,62,18,24,24,24,24,26,26,26,10,28,23,8
40,195,70,305,218,40,98,26,111,317,67,44,26,125,34,11,31,42,42,42,50,29,44,111,15,15,21,136,73,42,16,9,58,24,56,12,4,4,4,4,4,15,15,15,14,18,15,15,20,20,20,19,63,26,20,20,20,20,35,35,35,10,25,22,7
31,208,61,353,255,31,122,26,109,361,80,37,26,108,43,11,26,55,55,55,56,27,41,116,12,12,30,155,102,57,22,14,78,46,60,25,1,1,1,1,1,12,12,12,26,19,30,30,32,32,32,11,66,36,24,24,24,24,34,34,34,6,19,13,9
36,180,62,309,216,36,108,28,109,313,63,38,28,105,35,10,33,35,35,35,68,35,45,126,13,13,34,141,56,26,8,22,82,35,54,18,3,3,3,3,3,15,15,15,13,17,8,8,35,35,35,11,51,19,9,9,9,9,43,43,43,3,10,22,9
43,225,77,372,267,43,129,29,114,346,78,37,29,115,45,15,25,49,49,49,72,43,45,129,14,14,30,136,89,46,21,16,92,44,54,21,3,3,3,3,3,14,14,14,30,13,16,16,34,34,34,8,63,26,13,13,13,13,37,37,37,2,15,18,7
42,230,79,380,289,42,123,33,129,382,102,45,33,120,48,18,30,69,69,69,64,27,41,121,16,16,37,158,87,39,14,14,88,37,58,16,5,5,5,5,5,20,20,20,25,24,23,23,38,38,38,12,67,25,17,17,17,17,35,35,35,6,29,30,14
32,217,62,350,246,32,125,24,111,322,74,31,24,114,42,17,32,50,50,50,67,40,40,118,10,10,28,140,81,41,11,7,80,38,62,18,3,3,3,3,3,16,16,16,23,18,21,21,39,39,39,7,75,30,13,13,13,13,31,31,31,16,34,23,13
33,200,61,339,245,33,113,32,125,344,65,40,32,108,32,10,34,33,33,33,81,38,50,118,16,16,43,147,82,51,19,26,78,47,68,25,4,4,4,4,4,14,14,14,18,14,19,19,25,25,25,8,74,32,9,9,9,9,35,35,35,6,21,29,15
46,226,74,330,254,46,112,14,97,296,55,20,14,111,39,15,36,42,42,42,77,42,58,138,21,21,35,159,69,30,13,16,65,44,65,26,0,0,0,0,0,11,11,11,20,19,20,20,18,18,18,6,58,18,26,26,26,26,33,33,33,8,20,27,14
36,216,59,342,221,36,97,17,98,344,65,31,17,103,33,7,35,48,48,48,58,34,44,116,13,13,24,163,89,51,27,13,73,32,55,18,3,3,3,3,3,10,10,10,17,22,25,25,32,32,32,15,61,24,24,24,24,24,39,39,39,9,24,23,9
45,230,74,370,273,45,117,29,108,352,84,38,29,115,34,12,35,55,55,55,59,34,41,122,7,7,25,136,87,46,16,22,87,37,61,21,5,5,5,5,5,14,14,14,25,16,19,19,30,30,30,10,71,31,11,11,11,11,32,32,32,14,26,21,9
34,230,69,362,268,34,130,39,125,365,98,51,39,113,19,5,31,60,60,60,66,35,53,106,14,14,32,134,85,54,14,16,73,49,66,34,3,3,3,3,3,8,8,8,23,9,17,17,28,28,28,13,69,40,19,19,19,19,28,28,28,6,30,20,11
30,211,70,314,242,30,112,36,128,338,82,47,36,120,27,4,37,46,46,46,62,29,62,121,16,16,34,130,70,40,6,11,55,44,53,26,3,3,3,3,3,8,8,8,19,13,14,14,18,18,18,11,68,34,24,24,24,24,29,29,29,8,32,18,9
32,167,56,299,216,32,102,37,132,317,70,50,37,92,33,6,29,34,34,34,65,32,30,91,10,10,33,123,75,43,14,18,70,39,53,10,3,3,3,3,3,10,10,10,21,12,18,18,26,26,26,15,79,30,13,13,13,13,19,19,19,7,22,28,15
38,229,82,363,292,38,120,36,150,380,75,45,36,140,39,15,28,39,39,39,61,36,52,121,16,16,25,128,84,57,20,21,76,59,83,26,4,4,4,4,4,15,15,15,17,11,14,14,27,27,27,9,92,38,17,17,17,17,36,36,36,12,39,29,20
34,244,77,363,243,34,148,43,122,365,86,54,43,121,49,17,37,43,43,43,69,45,55,135,22,22,24,126,83,42,19,14,73,44,54,28,2,2,2,2,2,7,7,7,17,24,14,14,38,38,38,12,62,24,22,22,22,22,26,26,26,16,40,16,9
23,151,45,233,165,23,90,17,75,204,48,20,17,76,36,13,23,32,32,32,48,27,30,99,8,8,21,95,49,25,10,13,47,30,39,17,0,0,0,0,0,7,7,7,9,16,9,9,17,17,17,4,41,15,13,13,13,13,15,15,15,6,18,14,6
43,230,64,354,289,43,124,32,99,344,89,43,32,118,38,10,25,57,57,57,61,27,66,144,18,18,35,146,92,43,18,18,87,45,65,29,2,2,2,2,2,10,10,10,31,19,14,14,30,30,30,11,58,26,19,19,19,19,31,31,31,13,22,10,7
28,173,50,272,196,28,108,28,93,294,57,34,28,90,43,13,33,29,29,29,57,23,43,118,11,11,34,132,72,37,14,13,55,37,44,19,5,5,5,5,5,13,13,13,15,20,9,9,22,22,22,6,57,24,22,22,22,22,33,33,33,11,17,13,9
19,196,58,335,229,19,125,37,126,354,85,49,37,112,32,8,39,48,48,48,52,33,37,119,11,11,20,118,86,48,21,17,76,46,65,29,5,5,5,5,5,8,8,8,24,15,18,18,28,28,28,12,67,27,19,19,19,19,18,18,18,11,26,20,9
26,168,51,269,204,26,79,26,80,289,59,34,26,91,29,11,22,33,33,33,48,20,46,112,12,12,28,132,75,43,18,13,57,35,47,24,3,3,3,3,3,14,14,14,17,16,16,16,24,24,24,9,54,26,24,24,24,24,19,19,19,8,23,19,10
28,204,52,288,203,28,117,31,83,257,77,44,31,100,21,5,25,46,46,46,67,44,50,113,7,7,24,112,48,29,18,18,65,33,43,22,2,2,2,2,2,9,9,9,9,11,14,14,29,29,29,13,41,11,9,9,9,9,22,22,22,8,16,17,6
34,199,58,322,235,34,112,35,103,344,80,42,35,99,44,14,35,45,45,45,71,27,45,130,11,11,45,164,83,31,13,16,82,33,48,18,4,4,4,4,4,12,12,12,27,25,14,14,32,32,32,7,58,19,26,26,26,26,33,33,33,13,23,21,10
49,217,77,359,240,49,102,22,92,332,76,26,22,82,25,7,34,54,54,54,60,37,40,103,18,18,23,137,85,52,17,19,86,38,50,16,1,1,1,1,1,5,5,5,25,10,26,26,35,35,35,5,84,35,15,15,15,15,42,42,42,16,25,25,13
33,205,58,304,229,33,112,23,89,294,70,27,23,106,23,14,30,47,47,47,69,34,51,103,17,17,36,139,60,36,11,19,71,34,61,29,1,1,1,1,1,6,6,6,18,8,16,16,22,22,22,5,48,25,24,24,24,24,32,32,32,11,23,11,4
36,249,70,393,307,36,141,47,153,425,110,61,47,140,50,11,32,64,64,64,78,39,64,153,15,15,39,186,97,53,18,12,73,60,69,28,2,2,2,2,2,11,11,11,28,17,18,18,20,20,20,15,94,35,36,36,36,36,44,44,44,9,29,27,9
45,192,71,327,243,45,106,30,113,325,67,42,30,86,31,11,33,38,38,38,64,29,36,95,16,16,35,129,80,40,12,23,83,32,38,9,4,4,4,4,4,15,15,15,31,10,7,7,24,24,24,13,70,28,19,19,19,19,25,25,25,8,27,24,12
46,229,75,352,243,46,108,24,112,360,68,36,24,102,32,8,38,45,45,45,55,29,42,96,12,12,26,138,78,48,23,18,70,41,57,25,6,6,6,6,6,10,10,10,13,17,18,18,30,30,30,13,56,26,26,26,26,26,36,36,36,8,28,16,9
38,234,66,355,255,38,113,22,108,353,72,31,22,111,44,15,35,51,51,51,61,37,50,129,12,12,24,151,94,54,19,10,66,33,44,11,1,1,1,1,1,18,18,18,22,20,18,18,28,28,28,9,80,35,15,15,15,15,48,48,48,9,27,26,12
16,170,40,269,192,16,109,29,108,286,71,37,29,99,32,8,25,42,42,42,61,36,37,89,7,7,25,109,72,39,11,11,59,31,49,11,5,5,5,5,5,5,5,5,20,14,6,6,19,19,19,8,70,29,20,20,20,20,33,33,33,10,25,22,11
20,120,38,216,136,20,69,18,67,221,38,24,18,56,20,5,24,20,20,20,31,20,20,60,4,4,12,79,63,37,12,11,49,26,34,16,4,4,4,4,4,6,6,6,15,12,16,16,22,22,22,7,49,25,6,6,6,6,21,21,21,8,19,12,7
